"Status";"Date";"Description";"Debit";"Credit";"Member Name"
"Cleared";12/1/1989 0:00:00;"WHOLEPAYCHECK.COM";88.55;;"Marge Simpson"
"Cleared";1/31/1990 0:00:00;"WHOLE PAYCHECK";48.78;;"Marge Simpson"
"Cleared";12/17/1989 0:00:00;"TRY N' SAVE";32.48;;"Marge Simpson"
"Cleared";12/17/1989 0:00:00;"KWIK-E-MART";32.09;;"Marge Simpson"
"Cleared";12/17/1989 0:00:00;"KWIK-E-MART";31.07;;"Marge Simpson"
"Cleared";12/17/1989 0:00:00;"GOOGOLPLEX THEATRES";12.35;;"Marge Simpson"
"Cleared";12/13/1989 0:00:00;"PAYMENT";;-1703.61;"Marge Simpson"
"Cleared";12/9/1989 0:00:00;"WHOLE PAYCHECK";64.54;;"Marge Simpson"
"Cleared";12/3/1989 0:00:00;"WAVERLY HILLS";23.93;;"Marge Simpson"
"Cleared";12/2/1989 0:00:00;"WHOLE PAYCHECK";175.21;;"Marge Simpson"
"Cleared";12/18/1989 0:00:00;"GREATFUL BREAD";9.90;;"Marge Simpson"
"Cleared";12/1/1989 0:00:00;"WHOLEPAYCHECK.COM";139.80;;"Marge Simpson"
"Cleared";12/19/1989 0:00:00;"SPRINGFIELD MIDDLE SCHOOL";8.70;;"Marge Simpson"
"Cleared";11/26/1989 0:00:00;"KWIK-E-MART";27.75;;"Marge Simpson"
"Cleared";11/25/1989 0:00:00;"DUDLEY DO-DRUGS";3.86;;"Marge Simpson"
"Cleared";11/25/1989 0:00:00;"SHACK OF SIT";96.57;;"Marge Simpson"
"Cleared";11/25/1989 0:00:00;"AMERICAN VULTURE";78.22;;"Marge Simpson"
"Cleared";11/23/1989 0:00:00;"SHOT IN THE FACE PHOTO";32.61;;"Marge Simpson"
"Cleared";11/23/1989 0:00:00;"ABERCROMBIE & THE OTHER GUY";68.58;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"TRY N' SAVE";7.88;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"DUDLEY DO-DRUGS";2.79;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"ABERCROMBIE & THE OTHER GUY";148.36;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"KWIK-E-MART";38.55;;"Marge Simpson"
"Cleared";12/1/1989 0:00:00;"WHOLEPAYCHECK.COM";428.48;;"Marge Simpson"
"Cleared";1/20/1990 0:00:00;"RURAL OUTFITTERS";57.47;;"Marge Simpson"
"Cleared";9/20/1989 0:00:00;"WHOLE PAYCHECK";4.08;;"Marge Simpson"
"Cleared";1/25/1990 0:00:00;"SWAPPER JACK'S";5.22;;"Marge Simpson"
"Cleared";1/24/1990 0:00:00;"SHACK OF SIT";96.57;;"Marge Simpson"
"Cleared";1/23/1990 0:00:00;"CURL UP & DYE SALON";29.99;;"Marge Simpson"
"Cleared";1/22/1990 0:00:00;"TRY N' SAVE";60.56;;"Marge Simpson"
"Cleared";1/22/1990 0:00:00;"KWIK-E-MART";25.74;;"Marge Simpson"
"Cleared";1/22/1990 0:00:00;"KWIK-E-MART";31.18;;"Marge Simpson"
"Cleared";1/22/1990 0:00:00;"PUNCHLINE JUICE BAR";7.22;;"Marge Simpson"
"Cleared";1/20/1990 0:00:00;"TOMMY HILLCLIMBER";40.99;;"Marge Simpson"
"Cleared";12/18/1989 0:00:00;"WELLNESS FOODS";4.28;;"Marge Simpson"
"Cleared";1/20/1990 0:00:00;"ABERCROMBIE & THE OTHER GUY";49.90;;"Marge Simpson"
"Cleared";11/21/1989 0:00:00;"THINGS UNNECESSARY";26.47;;"Marge Simpson"
"Cleared";1/14/1990 0:00:00;"PAYMENT";;-3148.08;"Marge Simpson"
"Cleared";1/5/1990 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";19.79;;"Marge Simpson"
"Cleared";1/3/1990 0:00:00;"AMERICAN VULTURE";;-27.93;"Marge Simpson"
"Cleared";1/2/1990 0:00:00;"SHERWOOD FLORIST";111.86;;"Marge Simpson"
"Cleared";12/30/1989 0:00:00;"WHOLE PAYCHECK";297.55;;"Marge Simpson"
"Cleared";12/23/1989 0:00:00;"KWIK-E-MART";32.64;;"Marge Simpson"
"Cleared";12/23/1989 0:00:00;"SHACK OF SIT";96.57;;"Marge Simpson"
"Cleared";12/21/1989 0:00:00;"TUMBLEBEES";89.61;;"Marge Simpson"
"Cleared";12/21/1989 0:00:00;"GOOGOLPLEX THEATRES";7.22;;"Marge Simpson"
"Cleared";12/21/1989 0:00:00;"CROUCHING TIGER HIDDEN EGGROLL";6.12;;"Marge Simpson"
"Cleared";1/20/1990 0:00:00;"BREAD PITT";2.79;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"WHOLE PAYCHECK";6.82;;"Marge Simpson"
"Cleared";10/14/1989 0:00:00;"PAYMENT";;-1643.17;"Marge Simpson"
"Cleared";10/11/1989 0:00:00;"WHOLE PAYCHECK";69.47;;"Marge Simpson"
"Cleared";10/11/1989 0:00:00;"WHOLE PAYCHECK";2.54;;"Marge Simpson"
"Cleared";10/3/1989 0:00:00;"SPRINGFIELD MALL";12.48;;"Marge Simpson"
"Cleared";10/1/1989 0:00:00;"WHOLE PAYCHECK";23.89;;"Marge Simpson"
"Cleared";10/1/1989 0:00:00;"WHOLE PAYCHECK";1.87;;"Marge Simpson"
"Cleared";9/27/1989 0:00:00;"WHOLE PAYCHECK";11.00;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"SHACK OF SIT";100.92;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"GOLD NAVY";131.67;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"WHOLE PAYCHECK";195.12;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"WHOLE PAYCHECK";55.50;;"Marge Simpson"
"Cleared";10/22/1989 0:00:00;"WHOLE PAYCHECK";297.07;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"KENTUCKY FRIED PANDA";5.83;;"Marge Simpson"
"Cleared";9/24/1989 0:00:00;"HAIRY SHEARERS";46.59;;"Marge Simpson"
"Cleared";9/24/1989 0:00:00;"PUNCHLINE JUICE BAR";3.75;;"Marge Simpson"
"Cleared";9/24/1989 0:00:00;"33 CENT STORE";3.58;;"Marge Simpson"
"Cleared";9/24/1989 0:00:00;"AMERICAN VULTURE";118.01;;"Marge Simpson"
"Cleared";9/23/1989 0:00:00;"ABERCROMBIE & THE OTHER GUY";109.63;;"Marge Simpson"
"Cleared";9/23/1989 0:00:00;"KWIK-E-MART GAS";32.50;;"Marge Simpson"
"Cleared";9/23/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";18.27;;"Marge Simpson"
"Cleared";9/21/1989 0:00:00;"JITTERS COFFEE";9.96;;"Marge Simpson"
"Cleared";7/23/1990 0:00:00;"PUNCHLINE JUICE BAR";3.94;;"Marge Simpson"
"Cleared";9/25/1989 0:00:00;"THE WURST PLACE";13.15;;"Marge Simpson"
"Cleared";11/18/1989 0:00:00;"KWIK-E-MART GAS";38.16;;"Marge Simpson"
"Cleared";1/31/1990 0:00:00;"WHOLE PAYCHECK";279.65;;"Marge Simpson"
"Cleared";11/21/1989 0:00:00;"THINGS UNNECESSARY";6.25;;"Marge Simpson"
"Cleared";11/21/1989 0:00:00;"KRUSTY BURGER";15.28;;"Marge Simpson"
"Cleared";11/20/1989 0:00:00;"WHOLEPAYCHECK.COM";652.20;;"Marge Simpson"
"Cleared";11/20/1989 0:00:00;"WHOLEPAYCHECK.COM";139.80;;"Marge Simpson"
"Cleared";11/20/1989 0:00:00;"WHOLEPAYCHECK.COM";88.55;;"Marge Simpson"
"Cleared";11/20/1989 0:00:00;"TACO BELFAST";8.91;;"Marge Simpson"
"Cleared";11/19/1989 0:00:00;"TRY N' SAVE";79.33;;"Marge Simpson"
"Cleared";11/19/1989 0:00:00;"KWIK-E-MART";57.13;;"Marge Simpson"
"Cleared";11/19/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";22.83;;"Marge Simpson"
"Cleared";10/21/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";18.27;;"Marge Simpson"
