"Date","Description","Card Member","Account .","Amount","Category"
1/1/1989 0:00:00,"ETHNICTOWN DANCE","MARGE SIMPSON",-80942.00,78.30,"Business Services-Employment Agencies"
1/1/1989 0:00:00,"DISCO STU'S DANCE STUDIO","MARGE SIMPSON",-80942.00,73.95,"Other-Education"
1/1/1989 0:00:00,"SPRINGFIELD DANCE","MARGE SIMPSON",-80942.00,56.55,"Other-Education"
1/1/1990 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,201.84,"Merchandise & Supplies-Computer Supplies"
1/1/1991 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,84.39,"Other-Education"
1/2/1989 0:00:00,"GOOGOLPLEX THEATRES","MARGE SIMPSON",-80942.00,7.19,"Entertainment-Theatrical Events"
1/2/1989 0:00:00,"GOOGOLPLEX THEATRES","MARGE SIMPSON",-80942.00,21.88,"Entertainment-Theatrical Events"
1/2/1990 0:00:00,"PUNCHLINE JUICE BAR","MARGE SIMPSON",-80942.00,10.70,"Restaurant-Bar & Café"
1/2/1991 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,7.44,"Merchandise & Supplies-Internet Purchase"
1/2/1991 0:00:00,"HINDENBURGER","HOMER SIMPSON",-80934.00,6.80,"Other-Miscellaneous"
1/3/1989 0:00:00,"FOOL LOCKER","MARGE SIMPSON",-80942.00,56.01,"Merchandise & Supplies-Internet Purchase"
1/3/1989 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,119.52,"Merchandise & Supplies-Groceries"
1/3/1989 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,28.50,"Transportation-Fuel"
1/3/1989 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,102.74,"Merchandise & Supplies-Wholesale Stores"
1/3/1990 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,24.44,"Restaurant-Restaurant"
1/3/1990 0:00:00,"THE SHARPER MARK-UP","MARGE SIMPSON",-80942.00,-27.97,"Merchandise & Supplies-Sporting Goods Stores"
1/3/1990 0:00:00,"ABERCROMBIE & THE OTHER GUY","MARGE SIMPSON",-80942.00,69.88,"Merchandise & Supplies-Clothing Stores"
1/3/1990 0:00:00,"SPRINGFIELD GLEN COUNTRY CLUB","MARGE SIMPSON",-80942.00,38.63,"Entertainment-Other Entertainment"
1/3/1990 0:00:00,"TOMMY HILLCLIMBER","MARGE SIMPSON",-80942.00,145.38,"Merchandise & Supplies-Clothing Stores"
1/3/1991 0:00:00,"CAPITAL CITY DANCE","MARGE SIMPSON",-80942.00,14.89,"Other-Education"
1/4/1989 0:00:00,"VHS VILLAGE","HOMER SIMPSON",-80934.00,1.62,"Merchandise & Supplies-Music & Video"
1/4/1989 0:00:00,"JUAN IN A MILLION","HOMER SIMPSON",-80934.00,36.38,"Restaurant-Restaurant"
1/4/1989 0:00:00,"TRY N' SAVE","HOMER SIMPSON",-80934.00,7.81,"Merchandise & Supplies-Wholesale Stores"
1/4/1990 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,27.00,"Merchandise & Supplies-Internet Purchase"
1/4/1990 0:00:00,"OGDENVILLE FOODS","HOMER SIMPSON",-80934.00,30.35,"Merchandise & Supplies-Groceries"
1/4/1990 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,26.21,"Restaurant-Bar & Café"
1/4/1990 0:00:00,"WEE MONSIEUR","HOMER SIMPSON",-80934.00,65.30,"Merchandise & Supplies-Clothing Stores"
1/4/1990 0:00:00,"THINGS UNNECESSARY","MARGE SIMPSON",-80942.00,30.96,"Merchandise & Supplies-Wholesale Stores"
1/4/1990 0:00:00,"THE SOUL PROVIDER","MARGE SIMPSON",-80942.00,17.72,"Merchandise & Supplies-Clothing Stores"
1/4/1990 0:00:00,"LINENS-N-SUCH","HOMER SIMPSON",-80934.00,9.30,"Merchandise & Supplies-Clothing Stores"
